,importance
project_quality_score,980.6666666666666
x_technical_interview_communication,930.6
x_project_quality_technical_interview,879.5333333333333
bert_pred,749.8
x_portfolio_github_repo_count,738.0
x_project_quality_portfolio,735.0
x_technical_interview_hr_interview,732.7333333333333
te_role_x_tier,642.5333333333333
stars_total,612.8
x_project_quality_linkedin_profile,593.2666666666667
meta_ridge_tfidf,587.0
teamwork_score,576.7333333333333
x_cgpa_project_quality,576.4
x_english_exam_communication,568.8666666666667
target_role,568.2
meta_logit_ceiling,566.7333333333333
technical_interview_score,565.2666666666667
x_project_quality_cv_quality,557.0
github_avg_stars,555.0
portfolio_score,539.0666666666667
application_year,538.3333333333334
linkedin_profile_score,498.06666666666666
problem_solving_score,492.06666666666666
communication_score,491.1333333333333
matched_skill,482.26666666666665
presentation_score,467.73333333333335
hr_interview_score,460.3333333333333
graduation_year,446.6666666666667
english_exam_score,441.46666666666664
txt_first_contrast_pos,436.26666666666665
cv_quality_score,430.3333333333333
knn25_mean,417.73333333333335
intern_months_per,413.8
oss_per_repo,401.6
matched_minus_mean,400.3333333333333
hobby,397.8666666666667
x_attendance_rate_cgpa,380.06666666666666
cloud_score,379.0
applications_sent,376.73333333333335
emb_svd_34,373.8666666666667
real_client_project_count,371.46666666666664
emb_svd_33,369.46666666666664
knn5_mean,365.1333333333333
internship_duration_months,354.0
emb_svd_11,350.8
emb_svd_6,350.6666666666667
leadership_score,348.93333333333334
knn25_std,337.0
cgpa,333.2
te_university_tier,322.6
skill_mean,322.3333333333333
emb_svd_27,318.2
emb_svd_9,313.06666666666666
skill_top2_mean,307.26666666666665
emb_svd_30,304.6
coding_score,303.93333333333334
attendance_rate,302.3333333333333
emb_svd_14,301.6666666666667
emb_svd_32,299.6666666666667
emb_svd_26,298.1333333333333
emb_svd_40,297.2
emb_svd_18,294.46666666666664
emb_svd_57,293.8
emb_svd_12,292.1333333333333
emb_svd_16,291.8
emb_svd_7,291.53333333333336
emb_svd_4,286.6
skill_max,285.2
emb_svd_61,284.73333333333335
emb_svd_39,282.3333333333333
emb_svd_63,281.6
te_target_role,281.26666666666665
emb_svd_25,281.06666666666666
emb_svd_42,280.46666666666664
emb_svd_29,279.46666666666664
emb_svd_55,279.26666666666665
emb_svd_21,279.2
emb_svd_24,278.8666666666667
emb_svd_3,276.6
emb_svd_46,275.3333333333333
emb_svd_8,274.93333333333334
emb_svd_13,274.2
emb_svd_36,273.6666666666667
emb_svd_31,273.26666666666665
emb_svd_37,273.2
emb_svd_45,272.1333333333333
emb_svd_0,271.53333333333336
emb_svd_20,271.4
emb_svd_48,271.26666666666665
emb_svd_23,270.4
emb_svd_41,270.26666666666665
backend_score,269.1333333333333
emb_svd_49,268.06666666666666
frontend_score,267.1333333333333
emb_svd_56,266.0
skill_min,265.93333333333334
devops_score,265.93333333333334
emb_svd_58,265.53333333333336
emb_svd_52,263.8
knn5_std,262.4
emb_svd_10,261.73333333333335
emb_svd_44,261.0
emb_svd_35,260.26666666666665
emb_svd_43,260.2
skill_specialization_gap,259.93333333333334
emb_svd_17,258.4
emb_svd_5,258.1333333333333
emb_svd_62,256.8
emb_svd_59,256.73333333333335
emb_svd_19,256.6
emb_svd_53,255.8
emb_svd_50,254.33333333333334
emb_svd_28,253.46666666666667
emb_svd_38,253.26666666666668
emb_svd_15,248.93333333333334
machine_learning_score,248.2
sql_score,246.93333333333334
emb_svd_1,245.73333333333332
emb_svd_54,244.66666666666666
open_source_contribution_count,243.86666666666667
txt_char_count,242.8
emb_svd_47,241.93333333333334
emb_svd_2,239.8
failed_courses_count,237.26666666666668
emb_svd_51,236.93333333333334
emb_svd_60,236.86666666666667
emb_svd_22,234.93333333333334
skill_std,231.66666666666666
interview_conversion,224.2
data_structures_score,221.93333333333334
department,201.06666666666666
matched_skill_rank,198.86666666666667
te_hobby,193.46666666666667
experience_total,191.53333333333333
github_repo_count,187.73333333333332
preferred_social_media_platform,176.66666666666666
te_preferred_social_media_platform,163.06666666666666
bootcamp_count,142.06666666666666
certification_count,140.33333333333334
te_department,134.6
interviews_attended,132.8
txt_word_count,123.4
university_tier,111.53333333333333
hackathon_count,103.73333333333333
age,68.13333333333334
award_rate,66.46666666666667
grad_age,62.733333333333334
txt_mentions_role,57.2
freelance_project_count,43.8
txt_pos_minus_neg,38.733333333333334
hackathon_awards,31.2
internship_count,30.866666666666667
txt_pos_count,27.0
na_count,23.6
txt_sent_count,18.733333333333334
txt_contrast_count,16.4
txt_has_güçlü,11.0
txt_neg_count,10.866666666666667
txt_has_mükemmel,4.4
years_since_grad,4.266666666666667
txt_has_eksik,1.9333333333333333
txt_has_dikkat_çekici,1.8
txt_has_etkileyici,1.2
na_internship_duration_months,1.2
txt_has_zorluk,1.2
na_hr_interview_score,0.3333333333333333
na_english_exam_score,0.26666666666666666
na_linkedin_profile_score,0.26666666666666666
na_open_source_contribution_count,0.13333333333333333
txt_has_başarılı,0.13333333333333333
na_portfolio_score,0.06666666666666667
na_github_avg_stars,0.0
txt_has_yetersiz,0.0
txt_has_geliştirmesi_gereken,0.0
txt_has_olağanüstü,0.0
txt_has_donanımlı,0.0
txt_has_sınırlı,0.0
txt_has_engelliyor,0.0
