,importance
project_quality_score,1079.3333333333333
x_technical_interview_communication,1046.6666666666667
x_project_quality_technical_interview,960.4666666666667
x_technical_interview_hr_interview,884.0666666666667
x_portfolio_github_repo_count,869.8666666666667
x_project_quality_portfolio,827.7333333333333
te_role_x_tier,754.4
stars_total,727.1333333333333
x_english_exam_communication,700.4666666666667
x_project_quality_linkedin_profile,696.2
technical_interview_score,691.6666666666666
github_avg_stars,667.6666666666666
teamwork_score,654.7333333333333
portfolio_score,641.2
x_project_quality_cv_quality,629.6
x_cgpa_project_quality,627.7333333333333
linkedin_profile_score,625.0
xlmr_pred2,620.5333333333333
application_year,613.5333333333333
communication_score,600.3333333333334
problem_solving_score,599.5333333333333
bert_pred,586.9333333333333
hr_interview_score,569.2
bert_pred2,557.7333333333333
xlmr_pred,551.2
presentation_score,543.0666666666667
english_exam_score,542.6
cv_quality_score,533.5333333333333
matched_skill,528.3333333333334
oss_per_repo,515.0
target_role,514.7333333333333
meta_logit_ceiling,509.2
graduation_year,508.06666666666666
intern_months_per,495.8
meta_ridge_tfidf,479.0
applications_sent,467.4
matched_minus_mean,463.6
cloud_score,458.6
x_attendance_rate_cgpa,455.06666666666666
txt_first_contrast_pos,449.2
emb_svd_34,448.6
internship_duration_months,441.1333333333333
emb_svd_33,435.8
cgpa,432.6666666666667
leadership_score,431.53333333333336
knn5_mean,429.06666666666666
emb_svd_6,418.26666666666665
knn25_std,412.3333333333333
knn25_mean,410.6
emb_svd_32,402.26666666666665
emb_svd_27,394.3333333333333
emb_svd_14,392.2
emb_svd_30,391.6666666666667
emb_svd_57,389.4
emb_svd_12,382.3333333333333
real_client_project_count,381.8
emb_svd_11,375.53333333333336
emb_svd_40,375.0
emb_svd_9,374.93333333333334
emb_svd_42,374.6666666666667
coding_score,373.8
emb_svd_24,372.06666666666666
emb_svd_28,370.73333333333335
emb_svd_29,368.2
emb_svd_39,367.8
emb_svd_16,365.46666666666664
emb_svd_61,365.1333333333333
emb_svd_37,365.1333333333333
emb_svd_21,365.0
emb_svd_52,365.0
emb_svd_26,364.53333333333336
te_university_tier,364.3333333333333
skill_mean,363.53333333333336
emb_svd_13,362.1333333333333
emb_svd_7,362.06666666666666
attendance_rate,362.0
emb_svd_36,361.46666666666664
te_target_role,360.0
emb_svd_43,359.1333333333333
skill_top2_mean,358.8666666666667
emb_svd_58,358.46666666666664
frontend_score,357.46666666666664
emb_svd_45,357.0
emb_svd_3,356.8
emb_svd_8,356.6666666666667
emb_svd_25,356.46666666666664
emb_svd_18,356.06666666666666
emb_svd_17,353.46666666666664
emb_svd_48,352.6666666666667
emb_svd_0,352.26666666666665
backend_score,352.06666666666666
hobby,352.06666666666666
emb_svd_4,350.93333333333334
emb_svd_44,349.6
emb_svd_46,348.1333333333333
emb_svd_31,347.53333333333336
skill_specialization_gap,346.6
emb_svd_55,346.46666666666664
emb_svd_19,346.1333333333333
emb_svd_49,345.6
emb_svd_63,345.3333333333333
emb_svd_59,344.8
emb_svd_35,344.6666666666667
emb_svd_20,344.6
emb_svd_5,344.4
emb_svd_15,341.8666666666667
emb_svd_56,341.8
knn5_std,337.6
txt_char_count,337.26666666666665
emb_svd_62,336.46666666666664
emb_svd_23,336.2
skill_max,332.6
emb_svd_50,330.2
emb_svd_60,329.6666666666667
devops_score,329.6666666666667
emb_svd_53,325.06666666666666
emb_svd_41,323.8666666666667
emb_svd_10,323.73333333333335
skill_std,323.4
emb_svd_22,322.2
emb_svd_38,320.6
emb_svd_54,318.73333333333335
emb_svd_2,315.73333333333335
emb_svd_47,315.4
emb_svd_1,313.53333333333336
interview_conversion,313.06666666666666
sql_score,309.1333333333333
machine_learning_score,306.3333333333333
skill_min,300.6
emb_svd_51,298.6666666666667
data_structures_score,297.46666666666664
open_source_contribution_count,290.6666666666667
failed_courses_count,255.06666666666666
te_hobby,246.33333333333334
matched_skill_rank,241.0
github_repo_count,232.53333333333333
experience_total,213.66666666666666
te_preferred_social_media_platform,206.8
interviews_attended,176.0
department,174.4
te_department,172.26666666666668
txt_word_count,167.93333333333334
certification_count,167.46666666666667
preferred_social_media_platform,150.0
bootcamp_count,146.53333333333333
hackathon_count,111.33333333333333
university_tier,92.46666666666667
age,89.33333333333333
grad_age,80.6
award_rate,72.6
txt_mentions_role,61.0
freelance_project_count,58.666666666666664
internship_count,44.8
txt_pos_minus_neg,40.06666666666667
txt_pos_count,34.8
na_count,31.666666666666668
hackathon_awards,29.933333333333334
txt_sent_count,29.733333333333334
txt_contrast_count,28.533333333333335
txt_has_güçlü,19.933333333333334
years_since_grad,6.866666666666666
txt_has_mükemmel,6.266666666666667
txt_neg_count,6.266666666666667
txt_has_dikkat_çekici,4.533333333333333
txt_has_etkileyici,3.3333333333333335
txt_has_eksik,2.7333333333333334
na_internship_duration_months,1.8
txt_has_başarılı,0.7333333333333333
na_linkedin_profile_score,0.5333333333333333
txt_has_zorluk,0.4
na_english_exam_score,0.3333333333333333
na_hr_interview_score,0.3333333333333333
na_open_source_contribution_count,0.2
na_portfolio_score,0.13333333333333333
na_github_avg_stars,0.13333333333333333
txt_has_sınırlı,0.0
txt_has_engelliyor,0.0
txt_has_yetersiz,0.0
txt_has_geliştirmesi_gereken,0.0
txt_has_donanımlı,0.0
txt_has_olağanüstü,0.0
