,importance
project_quality_score,1145.0
x_technical_interview_communication,1101.7333333333333
x_project_quality_technical_interview,1024.4
x_portfolio_github_repo_count,910.8666666666667
x_technical_interview_hr_interview,892.9333333333333
x_project_quality_portfolio,841.3333333333334
bert_pred,776.7333333333333
te_role_x_tier,769.4666666666667
xlmr_pred,755.8
stars_total,722.1333333333333
x_project_quality_linkedin_profile,706.6666666666666
teamwork_score,703.9333333333333
technical_interview_score,677.8666666666667
x_english_exam_communication,673.1333333333333
github_avg_stars,653.0
portfolio_score,633.4666666666667
x_cgpa_project_quality,627.2
linkedin_profile_score,624.4
application_year,623.5333333333333
x_project_quality_cv_quality,622.7333333333333
target_role,612.6
problem_solving_score,610.3333333333334
communication_score,599.6666666666666
meta_logit_ceiling,565.6
cv_quality_score,563.1333333333333
hr_interview_score,553.2
meta_ridge_tfidf,551.8
presentation_score,546.8666666666667
matched_skill,544.4666666666667
graduation_year,543.9333333333333
english_exam_score,541.4
txt_first_contrast_pos,498.6
intern_months_per,495.53333333333336
oss_per_repo,492.3333333333333
applications_sent,472.6
cloud_score,459.73333333333335
x_attendance_rate_cgpa,459.53333333333336
matched_minus_mean,453.1333333333333
emb_svd_34,452.6666666666667
internship_duration_months,434.93333333333334
hobby,431.93333333333334
leadership_score,428.6666666666667
knn25_mean,428.46666666666664
real_client_project_count,425.4
cgpa,415.93333333333334
emb_svd_33,413.6666666666667
knn5_mean,413.06666666666666
knn25_std,412.2
emb_svd_6,403.53333333333336
emb_svd_11,383.1333333333333
emb_svd_27,382.3333333333333
te_university_tier,378.6666666666667
emb_svd_32,376.53333333333336
emb_svd_57,373.53333333333336
emb_svd_30,372.06666666666666
emb_svd_12,369.8
emb_svd_14,369.0
emb_svd_40,367.06666666666666
skill_mean,366.3333333333333
coding_score,362.1333333333333
emb_svd_26,361.2
emb_svd_9,359.1333333333333
emb_svd_7,358.3333333333333
emb_svd_21,357.3333333333333
emb_svd_39,356.6
emb_svd_42,355.93333333333334
emb_svd_37,355.1333333333333
emb_svd_61,353.93333333333334
skill_top2_mean,353.6666666666667
emb_svd_4,351.0
emb_svd_48,349.2
emb_svd_58,348.46666666666664
attendance_rate,348.3333333333333
emb_svd_18,348.26666666666665
emb_svd_29,345.8
emb_svd_28,345.8
emb_svd_24,345.6
emb_svd_36,345.46666666666664
emb_svd_25,345.2
emb_svd_16,344.3333333333333
emb_svd_5,342.8666666666667
te_target_role,340.6666666666667
emb_svd_13,340.4
emb_svd_52,339.8
emb_svd_55,338.2
emb_svd_8,338.0
emb_svd_45,337.93333333333334
emb_svd_3,337.8
emb_svd_17,337.1333333333333
emb_svd_62,336.0
emb_svd_44,335.4
emb_svd_59,333.4
emb_svd_46,333.4
emb_svd_43,332.26666666666665
emb_svd_20,329.0
emb_svd_10,327.8666666666667
emb_svd_35,324.8666666666667
emb_svd_31,324.8
backend_score,324.73333333333335
skill_specialization_gap,323.1333333333333
emb_svd_41,322.6
emb_svd_50,321.6
devops_score,320.1333333333333
emb_svd_0,320.0
emb_svd_49,319.0
emb_svd_23,319.0
frontend_score,318.6666666666667
emb_svd_19,316.4
emb_svd_63,315.3333333333333
emb_svd_38,315.0
skill_max,314.93333333333334
knn5_std,311.46666666666664
emb_svd_54,310.8666666666667
emb_svd_56,309.46666666666664
txt_char_count,309.2
emb_svd_53,309.0
emb_svd_15,305.4
emb_svd_1,304.6666666666667
emb_svd_47,303.73333333333335
emb_svd_60,301.3333333333333
emb_svd_22,301.0
emb_svd_2,300.93333333333334
machine_learning_score,297.26666666666665
skill_std,297.1333333333333
skill_min,293.6666666666667
sql_score,287.93333333333334
interview_conversion,281.6
emb_svd_51,281.4
open_source_contribution_count,278.3333333333333
failed_courses_count,265.93333333333334
te_hobby,249.26666666666668
matched_skill_rank,248.73333333333332
data_structures_score,245.46666666666667
experience_total,217.0
github_repo_count,210.33333333333334
department,202.73333333333332
te_preferred_social_media_platform,195.93333333333334
preferred_social_media_platform,183.53333333333333
certification_count,174.86666666666667
txt_word_count,166.06666666666666
interviews_attended,160.26666666666668
bootcamp_count,158.13333333333333
te_department,157.86666666666667
hackathon_count,125.26666666666667
university_tier,99.53333333333333
age,77.73333333333333
award_rate,75.53333333333333
grad_age,71.46666666666667
txt_mentions_role,63.266666666666666
freelance_project_count,51.333333333333336
internship_count,40.93333333333333
txt_pos_minus_neg,36.266666666666666
txt_pos_count,29.333333333333332
hackathon_awards,27.666666666666668
na_count,26.733333333333334
txt_contrast_count,21.533333333333335
txt_sent_count,17.933333333333334
txt_has_güçlü,14.8
txt_neg_count,5.2
years_since_grad,4.6
txt_has_mükemmel,3.066666666666667
txt_has_dikkat_çekici,2.7333333333333334
txt_has_etkileyici,2.066666666666667
txt_has_eksik,1.7333333333333334
na_internship_duration_months,1.4
txt_has_başarılı,0.4
txt_has_zorluk,0.26666666666666666
na_english_exam_score,0.26666666666666666
na_hr_interview_score,0.13333333333333333
na_linkedin_profile_score,0.06666666666666667
na_portfolio_score,0.0
na_github_avg_stars,0.0
na_open_source_contribution_count,0.0
txt_has_geliştirmesi_gereken,0.0
txt_has_sınırlı,0.0
txt_has_donanımlı,0.0
txt_has_yetersiz,0.0
txt_has_engelliyor,0.0
txt_has_olağanüstü,0.0
