,importance
x_technical_interview_communication,382.6
x_portfolio_github_repo_count,324.4
x_technical_interview_hr_interview,298.6
te_role_x_tier,293.8
teamwork_score,286.6
meta_ridge_tfidf,271.0
x_english_exam_communication,259.0
hr_interview_score,256.0
project_quality_score,253.4
x_project_quality_technical_interview,252.8
linkedin_profile_score,251.8
github_avg_stars,248.4
meta_logit_ceiling,246.2
stars_total,242.4
english_exam_score,238.4
presentation_score,236.0
x_project_quality_portfolio,229.4
problem_solving_score,226.6
x_project_quality_linkedin_profile,224.8
cv_quality_score,221.4
cgpa,216.0
portfolio_score,215.6
txt_first_contrast_pos,209.0
x_attendance_rate_cgpa,206.0
leadership_score,205.0
applications_sent,198.2
communication_score,196.6
x_project_quality_cv_quality,194.6
technical_interview_score,193.4
application_year,193.0
matched_minus_mean,188.2
cloud_score,185.0
oss_per_repo,182.2
matched_skill,178.0
internship_duration_months,177.6
coding_score,176.6
intern_months_per,175.2
x_cgpa_project_quality,167.4
attendance_rate,161.8
graduation_year,158.8
txt_char_count,155.0
skill_specialization_gap,147.8
frontend_score,146.0
interview_conversion,144.6
real_client_project_count,143.0
skill_std,140.4
target_role,136.6
sql_score,136.0
skill_mean,135.4
devops_score,134.6
machine_learning_score,134.0
te_university_tier,132.2
te_target_role,125.2
backend_score,123.6
data_structures_score,119.6
te_hobby,115.0
skill_max,113.0
failed_courses_count,107.0
te_preferred_social_media_platform,102.2
skill_min,102.0
matched_skill_rank,97.8
skill_top2_mean,97.4
open_source_contribution_count,95.8
te_department,86.4
txt_word_count,77.2
certification_count,76.4
github_repo_count,69.0
experience_total,67.0
hobby,65.6
bootcamp_count,65.0
interviews_attended,63.2
hackathon_count,54.2
department,38.4
age,37.2
grad_age,35.0
txt_mentions_role,30.8
award_rate,29.0
txt_pos_minus_neg,26.6
internship_count,25.6
preferred_social_media_platform,25.0
freelance_project_count,24.2
txt_pos_count,19.0
hackathon_awards,17.6
university_tier,12.6
txt_neg_count,12.0
txt_has_güçlü,11.4
txt_contrast_count,11.0
na_count,9.8
txt_sent_count,9.6
txt_has_sınırlı,6.0
years_since_grad,5.2
txt_has_eksik,5.2
txt_has_etkileyici,3.8
txt_has_dikkat_çekici,3.8
txt_has_zorluk,1.6
txt_has_başarılı,1.6
txt_has_olağanüstü,0.4
txt_has_donanımlı,0.2
na_internship_duration_months,0.2
na_linkedin_profile_score,0.2
txt_has_mükemmel,0.2
na_english_exam_score,0.0
na_portfolio_score,0.0
na_github_avg_stars,0.0
na_open_source_contribution_count,0.0
na_hr_interview_score,0.0
txt_has_geliştirmesi_gereken,0.0
txt_has_engelliyor,0.0
txt_has_yetersiz,0.0
