,importance
x_technical_interview_hr_interview,561.6
hr_interview_score,548.6
x_portfolio_github_repo_count,548.2
linkedin_profile_score,543.0
english_exam_score,540.4
x_english_exam_communication,531.6
teamwork_score,523.0
x_technical_interview_communication,516.0
meta_ridge_tfidf,504.4
application_year,498.6
github_avg_stars,493.8
meta_logit_ceiling,480.6
portfolio_score,477.8
stars_total,473.0
x_project_quality_linkedin_profile,471.0
te_role_x_tier,464.4
x_project_quality_portfolio,453.0
presentation_score,447.4
project_quality_score,442.0
cv_quality_score,430.0
cgpa,426.2
communication_score,418.2
leadership_score,418.0
x_project_quality_technical_interview,416.2
oss_per_repo,406.6
applications_sent,400.6
problem_solving_score,399.8
x_attendance_rate_cgpa,397.8
txt_first_contrast_pos,394.8
cloud_score,393.0
matched_minus_mean,390.2
graduation_year,388.8
technical_interview_score,382.6
txt_char_count,382.4
coding_score,374.4
intern_months_per,367.4
attendance_rate,366.4
skill_specialization_gap,353.8
frontend_score,352.4
interview_conversion,351.8
skill_std,347.6
internship_duration_months,344.6
x_cgpa_project_quality,340.0
x_project_quality_cv_quality,334.0
devops_score,324.6
machine_learning_score,314.2
backend_score,301.8
sql_score,299.6
data_structures_score,298.0
te_hobby,274.0
matched_skill,273.0
target_role,270.4
skill_min,248.6
te_target_role,244.2
te_university_tier,233.4
te_preferred_social_media_platform,228.2
te_department,217.0
skill_max,201.0
skill_mean,200.8
skill_top2_mean,191.0
txt_word_count,183.0
real_client_project_count,170.8
matched_skill_rank,170.2
open_source_contribution_count,167.4
github_repo_count,147.6
hobby,145.0
failed_courses_count,137.8
experience_total,133.4
interviews_attended,128.4
certification_count,128.0
bootcamp_count,115.8
age,99.2
hackathon_count,97.2
grad_age,94.8
department,78.6
freelance_project_count,73.2
internship_count,63.4
preferred_social_media_platform,61.4
txt_pos_minus_neg,49.6
award_rate,44.8
txt_mentions_role,44.2
txt_pos_count,40.2
txt_contrast_count,30.2
na_count,27.4
txt_has_güçlü,27.2
txt_sent_count,22.2
hackathon_awards,20.0
university_tier,18.2
txt_neg_count,13.8
years_since_grad,11.8
txt_has_dikkat_çekici,9.2
txt_has_sınırlı,7.8
txt_has_etkileyici,7.0
txt_has_eksik,6.6
txt_has_zorluk,3.6
txt_has_başarılı,3.0
txt_has_donanımlı,2.4
txt_has_mükemmel,2.2
txt_has_engelliyor,0.6
na_internship_duration_months,0.6
txt_has_geliştirmesi_gereken,0.4
txt_has_olağanüstü,0.4
na_english_exam_score,0.0
na_portfolio_score,0.0
na_linkedin_profile_score,0.0
na_open_source_contribution_count,0.0
na_hr_interview_score,0.0
na_github_avg_stars,0.0
txt_has_yetersiz,0.0
