,importance
x_technical_interview_communication,350.4
x_portfolio_github_repo_count,303.2
x_technical_interview_hr_interview,276.6
project_quality_score,248.6
meta_ridge_tfidf,240.6
te_role_x_tier,238.4
teamwork_score,232.2
linkedin_profile_score,231.2
x_english_exam_communication,230.0
x_project_quality_portfolio,229.6
x_project_quality_technical_interview,224.8
hr_interview_score,220.8
meta_logit_ceiling,218.0
github_avg_stars,216.2
stars_total,213.8
english_exam_score,204.8
x_project_quality_linkedin_profile,197.2
problem_solving_score,196.4
application_year,195.6
portfolio_score,195.4
presentation_score,188.6
cv_quality_score,183.4
technical_interview_score,183.0
x_project_quality_cv_quality,182.0
applications_sent,179.4
txt_first_contrast_pos,178.2
matched_skill,173.8
emb_svd_11,173.6
x_attendance_rate_cgpa,170.8
emb_svd_34,168.8
oss_per_repo,164.0
cloud_score,162.8
emb_svd_33,161.8
communication_score,160.6
leadership_score,160.2
cgpa,157.4
knn25_mean,156.6
emb_svd_61,156.2
intern_months_per,156.0
emb_svd_9,156.0
knn25_std,154.4
x_cgpa_project_quality,153.4
emb_svd_27,153.0
matched_minus_mean,152.4
emb_svd_32,151.2
emb_svd_57,150.2
internship_duration_months,149.0
emb_svd_26,147.6
emb_svd_58,147.4
emb_svd_30,147.4
emb_svd_48,147.0
emb_svd_37,143.6
emb_svd_10,143.0
emb_svd_25,142.6
emb_svd_14,142.6
coding_score,142.4
emb_svd_63,142.0
emb_svd_24,141.2
emb_svd_3,141.0
emb_svd_18,141.0
emb_svd_42,140.6
emb_svd_29,140.6
emb_svd_40,140.6
emb_svd_44,139.6
emb_svd_5,138.2
emb_svd_12,136.8
emb_svd_28,136.6
emb_svd_35,135.8
emb_svd_62,135.0
emb_svd_46,134.8
emb_svd_45,134.4
emb_svd_13,133.8
emb_svd_41,133.6
txt_char_count,133.4
knn5_mean,133.0
frontend_score,132.6
emb_svd_50,132.4
emb_svd_19,132.4
emb_svd_54,131.8
emb_svd_16,131.6
emb_svd_8,131.2
emb_svd_53,131.0
emb_svd_49,131.0
emb_svd_36,130.4
emb_svd_17,130.2
real_client_project_count,129.8
emb_svd_31,129.8
emb_svd_1,129.6
emb_svd_39,129.4
emb_svd_60,129.4
emb_svd_20,128.8
emb_svd_21,128.6
emb_svd_59,128.4
emb_svd_52,127.0
emb_svd_56,126.6
emb_svd_22,126.6
knn5_std,126.2
machine_learning_score,125.6
emb_svd_7,125.4
emb_svd_6,123.4
emb_svd_15,122.4
emb_svd_2,122.4
emb_svd_0,122.2
attendance_rate,121.4
emb_svd_23,120.8
emb_svd_47,120.4
emb_svd_55,119.6
emb_svd_43,119.2
skill_specialization_gap,118.2
graduation_year,118.0
emb_svd_38,117.2
sql_score,117.0
te_university_tier,115.6
emb_svd_51,115.4
interview_conversion,113.2
emb_svd_4,111.4
skill_mean,110.0
devops_score,109.2
backend_score,106.8
skill_std,106.6
te_hobby,103.6
skill_max,97.2
te_target_role,93.8
failed_courses_count,93.0
open_source_contribution_count,92.0
skill_top2_mean,91.2
data_structures_score,91.2
target_role,91.0
skill_min,90.6
matched_skill_rank,82.6
te_preferred_social_media_platform,76.0
te_department,68.0
github_repo_count,67.2
certification_count,67.0
experience_total,64.4
txt_word_count,64.0
hobby,55.6
interviews_attended,55.2
bootcamp_count,52.0
hackathon_count,39.6
age,30.0
department,29.0
award_rate,27.8
grad_age,26.8
txt_mentions_role,23.6
preferred_social_media_platform,20.6
freelance_project_count,19.2
internship_count,16.0
hackathon_awards,12.4
university_tier,11.8
txt_has_güçlü,10.6
txt_pos_minus_neg,9.6
txt_pos_count,8.8
na_count,8.6
txt_contrast_count,6.4
txt_has_sınırlı,5.8
txt_neg_count,4.8
years_since_grad,4.8
txt_has_dikkat_çekici,4.0
txt_sent_count,3.2
txt_has_etkileyici,1.8
txt_has_zorluk,1.4
txt_has_eksik,1.2
txt_has_donanımlı,0.8
txt_has_başarılı,0.6
na_english_exam_score,0.2
txt_has_mükemmel,0.2
na_linkedin_profile_score,0.2
txt_has_engelliyor,0.2
na_open_source_contribution_count,0.0
na_github_avg_stars,0.0
na_portfolio_score,0.0
na_internship_duration_months,0.0
txt_has_geliştirmesi_gereken,0.0
txt_has_yetersiz,0.0
txt_has_olağanüstü,0.0
na_hr_interview_score,0.0
