,importance
technical_interview_score,677.0
communication_score,582.2
portfolio_score,546.6
project_quality_score,529.4
hr_interview_score,528.6
github_avg_stars,480.8
linkedin_profile_score,458.8
cgpa,443.4
teamwork_score,441.8
english_exam_score,440.8
cv_quality_score,394.0
problem_solving_score,382.4
cloud_score,372.2
presentation_score,356.0
coding_score,349.6
internship_duration_months,343.8
leadership_score,325.2
target_role,322.4
devops_score,314.2
machine_learning_score,290.4
applications_sent,281.2
frontend_score,277.0
backend_score,271.4
github_repo_count,265.2
attendance_rate,262.8
sql_score,253.4
open_source_contribution_count,240.4
application_year,237.2
data_structures_score,236.8
real_client_project_count,192.2
graduation_year,180.2
failed_courses_count,133.4
university_tier,116.2
hobby,110.6
interviews_attended,109.6
certification_count,101.2
bootcamp_count,85.6
age,84.2
hackathon_count,73.4
department,60.2
hackathon_awards,58.4
preferred_social_media_platform,49.4
freelance_project_count,47.8
internship_count,43.0
