,importance
x_technical_interview_communication,370.0
x_portfolio_github_repo_count,339.6
teamwork_score,336.2
te_role_x_tier,333.8
x_technical_interview_hr_interview,305.4
stars_total,286.2
hr_interview_score,277.0
linkedin_profile_score,276.0
github_avg_stars,259.0
presentation_score,258.4
english_exam_score,255.8
x_project_quality_portfolio,253.2
project_quality_score,252.6
x_english_exam_communication,243.0
x_project_quality_linkedin_profile,240.6
cgpa,233.2
portfolio_score,232.2
cv_quality_score,231.2
leadership_score,227.6
x_project_quality_technical_interview,222.8
x_attendance_rate_cgpa,219.6
matched_skill,217.4
problem_solving_score,213.6
x_cgpa_project_quality,208.8
cloud_score,207.4
communication_score,202.4
technical_interview_score,201.6
coding_score,201.2
oss_per_repo,201.0
application_year,200.2
applications_sent,194.6
matched_minus_mean,190.6
x_project_quality_cv_quality,190.0
internship_duration_months,180.6
intern_months_per,179.8
te_target_role,161.0
target_role,156.6
graduation_year,155.2
attendance_rate,154.8
frontend_score,154.6
devops_score,153.8
interview_conversion,153.6
machine_learning_score,153.2
real_client_project_count,151.4
skill_std,146.0
skill_specialization_gap,145.6
skill_mean,143.4
backend_score,142.4
sql_score,142.0
te_university_tier,140.2
data_structures_score,135.0
te_hobby,122.0
skill_max,115.8
skill_min,113.2
open_source_contribution_count,112.8
skill_top2_mean,110.0
failed_courses_count,103.8
matched_skill_rank,103.4
te_preferred_social_media_platform,100.6
te_department,95.0
experience_total,90.8
github_repo_count,82.0
hobby,73.8
certification_count,72.4
interviews_attended,65.2
bootcamp_count,65.0
hackathon_count,53.2
age,41.8
department,41.6
grad_age,35.4
award_rate,33.6
freelance_project_count,32.6
preferred_social_media_platform,26.2
hackathon_awards,25.6
internship_count,24.8
na_count,12.2
years_since_grad,8.0
university_tier,6.0
na_internship_duration_months,0.2
na_linkedin_profile_score,0.0
na_hr_interview_score,0.0
na_portfolio_score,0.0
na_english_exam_score,0.0
na_github_avg_stars,0.0
na_open_source_contribution_count,0.0
